date_time,wspd,wdir,swdown,glw,swddni,swddir,swddif,td2m,tsd,dpt2m,psfc,rh2m,qv2m,clflo,clfhi
2024-06-01 00:00:00,1.918,171.176,0.0,0.0,0.0,0.0,0.0,20.451,20.451,-11.633,1003.841,41.231,0.006,68.577,0.007
2024-06-01 00:15:00,1.885,170.363,0.0,0.0,0.0,0.0,0.0,20.292,20.292,-11.517,1003.914,41.612,0.006,68.285,0.006
2024-06-01 00:30:00,1.862,169.214,0.0,0.0,0.0,0.0,0.0,20.146,20.146,-11.409,1003.979,41.975,0.006,67.67,0.005
2024-06-01 00:45:00,1.842,167.899,0.0,0.0,0.0,0.0,0.0,20.005,20.005,-11.3,1004.043,42.341,0.006,66.694,0.004
2024-06-01 01:00:00,1.82,166.171,0.0,0.0,0.0,0.0,0.0,19.864,19.864,-11.184,1004.106,42.736,0.006,65.318,0.004
2024-06-01 01:15:00,1.797,164.067,0.0,0.0,0.0,0.0,0.0,19.724,19.724,-11.059,1004.169,43.16,0.006,63.486,0.004
2024-06-01 01:30:00,1.773,161.651,0.0,0.0,0.0,0.0,0.0,19.586,19.586,-10.927,1004.23,43.615,0.006,61.224,0.004
2024-06-01 01:45:00,1.747,158.984,0.0,0.0,0.0,0.0,0.0,19.449,19.449,-10.787,1004.289,44.104,0.006,58.653,0.004
2024-06-01 02:00:00,1.72,156.126,0.0,0.0,0.0,0.0,0.0,19.314,19.314,-10.64,1004.346,44.624,0.006,55.897,0.004
2024-06-01 02:15:00,1.692,153.101,0.0,0.0,0.0,0.0,0.0,19.18,19.18,-10.484,1004.399,45.176,0.006,53.063,0.003
2024-06-01 02:30:00,1.659,149.886,0.0,0.0,0.0,0.0,0.0,19.048,19.048,-10.321,1004.448,45.764,0.006,50.182,0.002
2024-06-01 02:45:00,1.622,146.458,0.0,0.0,0.0,0.0,0.0,18.916,18.916,-10.15,1004.495,46.386,0.006,47.236,0.001
2024-06-01 03:00:00,1.578,142.794,0.0,0.0,0.0,0.0,0.0,18.785,18.785,-9.972,1004.542,47.044,0.006,44.208,0.0
2024-06-01 03:15:00,1.526,138.875,0.0,0.0,0.0,0.0,0.0,18.653,18.653,-9.786,1004.587,47.738,0.006,41.138,0.0
2024-06-01 03:30:00,1.467,134.709,0.0,0.0,0.0,0.0,0.0,18.521,18.521,-9.594,1004.633,48.464,0.006,38.145,0.0
2024-06-01 03:45:00,1.406,130.577,0.0,0.0,0.0,0.0,0.0,18.394,18.394,-9.405,1004.678,49.19,0.006,35.372,0.0
2024-06-01 04:00:00,1.346,127.445,0.0,0.0,0.0,0.0,0.0,18.308,18.308,-9.247,1004.721,49.802,0.006,32.971,0.0
2024-06-01 04:15:00,1.288,125.331,0.0,0.0,0.0,0.0,0.0,18.266,18.266,-9.122,1004.762,50.293,0.007,31.012,0.0
2024-06-01 04:30:00,1.232,124.229,0.0,0.0,0.0,0.0,0.0,18.27,18.27,-9.03,1004.8,50.656,0.007,29.408,0.0
2024-06-01 04:45:00,1.177,124.102,0.0,0.0,0.0,0.0,0.0,18.319,18.319,-8.972,1004.836,50.886,0.007,28.018,0.0
2024-06-01 05:00:00,1.124,124.911,0.0,0.0,0.0,0.0,0.0,18.416,18.416,-8.949,1004.87,50.977,0.007,26.699,0.0
2024-06-01 05:15:00,1.073,126.623,17.107,0.0,3.53,0.12,1.02,18.563,18.563,-8.963,1004.902,50.922,0.007,25.359,0.0
2024-06-01 05:30:00,1.024,129.279,14.789,0.0,31.47,2.524,6.7,18.759,18.759,-9.015,1004.929,50.717,0.007,24.01,0.0
