timeStamp,wspd,wdir,swdown,glw,swddni,swddir,swddif,td2m,tsd,dpt2m,psfc,rh2m,qv2m,clflo,clfhi
2024-05-13 00:00:00,2.043,249.537,0.0,0.0,0.0,0.0,0.0,15.598,15.598,-9.957,1002.771,47.097,0.005,4.114,0.0
2024-05-13 00:15:00,2.026,252.894,0.0,0.0,0.0,0.0,0.0,15.333,15.333,-9.65,1002.737,48.251,0.005,4.655,0.0
2024-05-13 00:30:00,2.01,255.615,0.0,0.0,0.0,0.0,0.0,15.067,15.067,-9.33,1002.694,49.481,0.005,5.177,0.0
2024-05-13 00:45:00,1.993,257.881,0.0,0.0,0.0,0.0,0.0,14.806,14.806,-9.015,1002.649,50.715,0.005,5.616,0.0
2024-05-13 01:00:00,1.973,259.776,0.0,0.0,0.0,0.0,0.0,14.559,14.559,-8.722,1002.606,51.89,0.005,5.856,0.0
2024-05-13 01:15:00,1.95,261.677,0.0,0.0,0.0,0.0,0.0,14.326,14.326,-8.448,1002.564,53.007,0.005,5.888,0.0
2024-05-13 01:30:00,1.925,263.652,0.0,0.0,0.0,0.0,0.0,14.106,14.106,-8.194,1002.524,54.067,0.005,5.763,0.0
2024-05-13 01:45:00,1.901,265.496,0.0,0.0,0.0,0.0,0.0,13.9,13.9,-7.957,1002.486,55.07,0.005,5.533,0.0
2024-05-13 02:00:00,1.877,267.007,0.0,0.0,0.0,0.0,0.0,13.706,13.706,-7.737,1002.449,56.017,0.005,5.252,0.0
2024-05-13 02:15:00,1.855,268.14,0.0,0.0,0.0,0.0,0.0,13.525,13.525,-7.533,1002.415,56.908,0.005,4.946,0.0
2024-05-13 02:30:00,1.835,269.104,0.0,0.0,0.0,0.0,0.0,13.358,13.358,-7.344,1002.385,57.744,0.005,4.627,0.0
2024-05-13 02:45:00,1.816,270.208,0.0,0.0,0.0,0.0,0.0,13.204,13.204,-7.17,1002.356,58.523,0.006,4.314,0.0
2024-05-13 03:00:00,1.798,271.76,0.0,0.0,0.0,0.0,0.0,13.063,13.063,-7.01,1002.33,59.245,0.006,4.027,0.0
2024-05-13 03:15:00,1.78,273.739,0.0,0.0,0.0,0.0,0.0,12.935,12.935,-6.865,1002.307,59.912,0.006,3.787,0.0
2024-05-13 03:30:00,1.761,275.776,0.0,0.0,0.0,0.0,0.0,12.822,12.822,-6.733,1002.287,60.52,0.006,3.608,0.0
2024-05-13 03:45:00,1.744,277.8,0.0,0.0,0.0,0.0,0.0,12.713,12.713,-6.602,1002.269,61.133,0.006,3.494,0.0
2024-05-13 04:00:00,1.726,279.211,0.0,0.0,0.0,0.0,0.0,12.651,12.651,-6.501,1002.255,61.607,0.006,3.446,0.0
2024-05-13 04:15:00,1.71,279.886,0.0,0.0,0.0,0.0,0.0,12.639,12.639,-6.43,1002.245,61.942,0.006,3.462,0.0
2024-05-13 04:30:00,1.692,279.98,0.0,0.0,0.0,0.0,0.0,12.678,12.678,-6.39,1002.238,62.132,0.006,3.535,0.0
2024-05-13 04:45:00,1.672,279.652,0.0,0.0,0.0,0.0,0.0,12.772,12.772,-6.382,1002.236,62.169,0.006,3.667,0.0
2024-05-13 05:00:00,1.648,279.061,0.0,0.0,0.0,0.0,0.0,12.925,12.925,-6.408,1002.237,62.048,0.006,3.856,0.0
2024-05-13 05:15:00,1.621,278.269,0.0,0.0,0.07,0.0,0.02,13.139,13.139,-6.468,1002.242,61.762,0.006,4.092,0.0
2024-05-13 05:30:00,1.59,277.241,6.321,0.0,8.76,0.387,2.17,13.417,13.417,-6.565,1002.249,61.306,0.006,4.353,0.0
2024-05-13 05:45:00,1.556,275.939,6.469,0.0,53.31,4.906,10.31,13.757,13.757,-6.699,1002.258,60.681,0.006,4.616,0.0
2024-05-13 06:00:00,1.522,274.327,13.118,0.0,128.14,17.989,22.03,14.159,14.159,-6.87,1002.271,59.886,0.006,4.861,0.0
2024-05-13 06:15:00,1.488,272.391,30.998,0.0,215.78,40.803,34.93,14.621,14.621,-7.082,1002.285,58.918,0.006,5.074,0.0
2024-05-13 06:30:00,1.454,270.125,63.005,0.0,306.97,72.962,48.13,15.141,15.141,-7.336,1002.302,57.778,0.006,5.259,0.0
2024-05-13 06:45:00,1.421,267.722,98.105,0.0,369.02,105.61,56.93,15.676,15.676,-7.601,1002.316,56.607,0.006,5.432,0.0
2024-05-13 07:00:00,1.397,265.033,137.45,0.0,421.61,140.944,64.6,16.236,16.236,-7.884,1002.321,55.381,0.006,5.61,0.0
2024-05-13 07:15:00,1.384,262.036,180.899,0.0,466.28,178.062,71.36,16.82,16.82,-8.185,1002.314,54.103,0.006,5.808,0.0
2024-05-13 07:30:00,1.38,258.736,226.936,0.0,504.49,216.155,77.42,17.423,17.423,-8.504,1002.297,52.779,0.007,6.021,0.0
2024-05-13 07:45:00,1.387,255.174,278.257,0.0,537.41,254.862,82.89,18.039,18.039,-8.84,1002.271,51.414,0.007,6.223,0.0
2024-05-13 08:00:00,1.406,251.391,332.168,0.0,563.86,292.515,88.28,18.666,18.666,-9.193,1002.234,50.014,0.007,6.392,0.0
2024-05-13 08:15:00,1.437,247.425,381.205,0.0,588.95,330.954,92.9,19.302,19.302,-9.563,1002.187,48.582,0.007,6.504,0.0
2024-05-13 08:30:00,1.481,243.302,435.826,0.0,611.05,368.76,97.16,19.946,19.946,-9.953,1002.131,47.115,0.007,6.552,0.0
2024-05-13 08:45:00,1.536,239.027,479.771,0.0,630.64,405.705,101.12,20.6,20.6,-10.362,1002.063,45.614,0.007,6.542,0.0
2024-05-13 09:00:00,1.601,234.609,536.202,0.0,648.08,441.493,104.79,21.264,21.264,-10.794,1001.983,44.079,0.007,6.479,0.0
2024-05-13 09:15:00,1.677,230.067,580.812,0.0,663.68,475.961,108.2,21.939,21.939,-11.25,1001.891,42.508,0.007,6.364,0.0
2024-05-13 09:30:00,1.763,225.438,620.912,0.0,677.68,508.804,111.36,22.625,22.625,-11.733,1001.787,40.9,0.007,6.184,0.0
2024-05-13 09:45:00,1.85,220.887,662.142,0.0,688.86,538.658,114.05,23.309,23.309,-12.237,1001.678,39.278,0.007,5.932,0.0
2024-05-13 10:00:00,1.942,216.698,698.321,0.0,698.75,566.517,116.51,23.971,23.971,-12.742,1001.552,37.714,0.007,5.598,0.0
2024-05-13 10:15:00,2.036,212.878,724.453,0.0,707.49,592.07,118.73,24.609,24.609,-13.245,1001.408,36.207,0.007,5.196,0.0
2024-05-13 10:30:00,2.133,209.403,754.002,0.0,715.19,615.213,120.72,25.224,25.224,-13.746,1001.246,34.763,0.007,4.755,0.0
2024-05-13 10:45:00,2.231,206.245,779.367,0.0,721.94,635.831,122.49,25.813,25.813,-14.242,1001.067,33.383,0.007,4.299,0.0
2024-05-13 11:00:00,2.33,203.382,802.138,0.0,727.8,653.808,124.03,26.376,26.376,-14.731,1000.869,32.071,0.007,3.854,0.0
2024-05-13 11:15:00,2.428,200.804,814.426,0.0,732.84,669.066,125.36,26.914,26.914,-15.21,1000.654,30.83,0.007,3.432,0.0
2024-05-13 11:30:00,2.527,198.522,824.207,0.0,737.1,681.434,126.45,27.424,27.424,-15.677,1000.422,29.664,0.007,3.031,0.0
2024-05-13 11:45:00,2.626,196.541,831.529,0.0,740.6,690.899,127.33,27.905,27.905,-16.127,1000.174,28.575,0.007,2.652,0.0
